Season,Bases,0 Outs,1 Out,2 Outs,Era
1912,-- -- --,0.515,0.251,0.087,Dead-Ball Era
1912,1B -- --,0.909,0.514,0.202,Dead-Ball Era
1912,-- 2B --,1.121,0.714,0.336,Dead-Ball Era
1912,-- -- 3B,1.392,1.011,0.422,Dead-Ball Era
1912,1B 2B --,1.653,0.955,0.436,Dead-Ball Era
1912,1B -- 3B,1.983,1.303,0.561,Dead-Ball Era
1912,-- 2B 3B,2.076,1.558,0.627,Dead-Ball Era
1912,1B 2B 3B,2.436,1.725,0.854,Dead-Ball Era
1913,-- -- --,0.448,0.218,0.069,Dead-Ball Era
1913,1B -- --,0.852,0.483,0.179,Dead-Ball Era
1913,-- 2B --,1.031,0.668,0.327,Dead-Ball Era
1913,-- -- 3B,1.28,0.924,0.393,Dead-Ball Era
1913,1B 2B --,1.562,0.895,0.414,Dead-Ball Era
1913,1B -- 3B,1.815,1.142,0.531,Dead-Ball Era
1913,-- 2B 3B,2.148,1.412,0.607,Dead-Ball Era
1913,1B 2B 3B,2.617,1.602,0.733,Dead-Ball Era
1914,-- -- --,0.428,0.214,0.064,Dead-Ball Era
1914,1B -- --,0.781,0.46,0.161,Dead-Ball Era
1914,-- 2B --,1.037,0.631,0.28,Dead-Ball Era
1914,-- -- 3B,1.233,0.869,0.342,Dead-Ball Era
1914,1B 2B --,1.481,0.884,0.414,Dead-Ball Era
1914,1B -- 3B,1.608,1.151,0.512,Dead-Ball Era
1914,-- 2B 3B,1.79,1.313,0.581,Dead-Ball Era
1914,1B 2B 3B,2.314,1.569,0.669,Dead-Ball Era
1915,-- -- --,0.424,0.212,0.074,Dead-Ball Era
1915,1B -- --,0.758,0.439,0.178,Dead-Ball Era
1915,-- 2B --,1.076,0.659,0.291,Dead-Ball Era
1915,-- -- 3B,1.219,0.874,0.362,Dead-Ball Era
1915,1B 2B --,1.433,0.897,0.396,Dead-Ball Era
1915,1B -- 3B,1.548,1.182,0.524,Dead-Ball Era
1915,-- 2B 3B,1.976,1.356,0.546,Dead-Ball Era
1915,1B 2B 3B,2.283,1.548,0.71,Dead-Ball Era
1916,-- -- --,0.384,0.194,0.064,Dead-Ball Era
1916,1B -- --,0.691,0.411,0.158,Dead-Ball Era
1916,-- 2B --,0.933,0.59,0.289,Dead-Ball Era
1916,-- -- 3B,1.182,0.873,0.313,Dead-Ball Era
1916,1B 2B --,1.245,0.738,0.398,Dead-Ball Era
1916,1B -- 3B,1.568,1.165,0.518,Dead-Ball Era
1916,-- 2B 3B,1.584,1.247,0.493,Dead-Ball Era
1916,1B 2B 3B,2.172,1.381,0.652,Dead-Ball Era
