Season,Bases,0 Outs,1 Out,2 Outs
1950,-- -- --,0.553,0.3,0.111
1950,1B -- --,0.929,0.572,0.242
1950,-- 2B --,1.233,0.773,0.364
1950,-- -- 3B,1.407,0.996,0.462
1950,1B 2B --,1.631,1.089,0.481
1950,1B -- 3B,1.663,1.189,0.553
1950,-- 2B 3B,2.065,1.534,0.707
1950,1B 2B 3B,2.579,1.854,0.94
1951,-- -- --,0.514,0.267,0.098
1951,1B -- --,0.89,0.521,0.218
1951,-- 2B --,1.12,0.709,0.33
1951,-- -- 3B,1.385,0.956,0.402
1951,1B 2B --,1.589,0.995,0.435
1951,1B -- 3B,1.749,1.259,0.523
1951,-- 2B 3B,1.955,1.511,0.61
1951,1B 2B 3B,2.394,1.644,0.747
1952,-- -- --,0.468,0.249,0.084
1952,1B -- --,0.834,0.502,0.198
1952,-- 2B --,1.11,0.677,0.334
1952,-- -- 3B,1.353,0.947,0.417
1952,1B 2B --,1.522,0.954,0.447
1952,1B -- 3B,1.8,1.182,0.487
1952,-- 2B 3B,2.196,1.461,0.662
1952,1B 2B 3B,2.49,1.589,0.868
1953,-- -- --,0.524,0.287,0.111
1953,1B -- --,0.899,0.558,0.235
1953,-- 2B --,1.17,0.714,0.359
1953,-- -- 3B,1.521,0.998,0.407
1953,1B 2B --,1.639,1.006,0.464
1953,1B -- 3B,1.875,1.286,0.561
1953,-- 2B 3B,2.117,1.427,0.62
1953,1B 2B 3B,2.574,1.645,0.72
1954,-- -- --,0.497,0.269,0.099
1954,1B -- --,0.861,0.525,0.212
1954,-- 2B --,1.04,0.674,0.323
1954,-- -- 3B,1.389,0.934,0.391
1954,1B 2B --,1.443,0.946,0.449
1954,1B -- 3B,1.731,1.122,0.502
1954,-- 2B 3B,1.925,1.336,0.583
1954,1B 2B 3B,2.185,1.524,0.644
1955,-- -- --,0.507,0.271,0.11
1955,1B -- --,0.882,0.526,0.229
1955,-- 2B --,1.078,0.712,0.332
1955,-- -- 3B,1.186,0.929,0.375
1955,1B 2B --,1.495,0.954,0.461
1955,1B -- 3B,1.778,1.181,0.567
1955,-- 2B 3B,1.975,1.469,0.623
1955,1B 2B 3B,2.287,1.533,0.793
1956,-- -- --,0.502,0.271,0.109
1956,1B -- --,0.872,0.531,0.226
1956,-- 2B --,1.076,0.67,0.331
1956,-- -- 3B,1.305,0.938,0.379
1956,1B 2B --,1.533,0.946,0.448
1956,1B -- 3B,1.631,1.2,0.535
1956,-- 2B 3B,1.943,1.429,0.716
1956,1B 2B 3B,2.251,1.533,0.738
1957,-- -- --,0.477,0.256,0.096
1957,1B -- --,0.848,0.508,0.208
1957,-- 2B --,1.073,0.679,0.338
1957,-- -- 3B,1.262,0.896,0.387
1957,1B 2B --,1.424,0.91,0.41
1957,1B -- 3B,1.612,1.165,0.486
1957,-- 2B 3B,1.819,1.325,0.556
1957,1B 2B 3B,2.253,1.631,0.752
1958,-- -- --,0.477,0.261,0.102
1958,1B -- --,0.823,0.517,0.223
1958,-- 2B --,1.028,0.667,0.326
1958,-- -- 3B,1.352,0.843,0.363
1958,1B 2B --,1.38,0.917,0.462
1958,1B -- 3B,1.592,1.083,0.503
1958,-- 2B 3B,1.88,1.388,0.603
1958,1B 2B 3B,2.246,1.482,0.714
1959,-- -- --,0.49,0.264,0.107
1959,1B -- --,0.852,0.516,0.236
1959,-- 2B --,1.123,0.676,0.335
1959,-- -- 3B,1.284,0.954,0.389
1959,1B 2B --,1.455,0.937,0.452
1959,1B -- 3B,1.827,1.085,0.466
1959,-- 2B 3B,1.993,1.364,0.616
1959,1B 2B 3B,2.2,1.511,0.784
1960,-- -- --,0.479,0.26,0.099
1960,1B -- --,0.844,0.513,0.219
1960,-- 2B --,1.099,0.693,0.351
1960,-- -- 3B,1.26,0.932,0.348
1960,1B 2B --,1.416,0.92,0.46
1960,1B -- 3B,1.768,1.241,0.54
1960,-- 2B 3B,1.974,1.369,0.569
1960,1B 2B 3B,2.229,1.511,0.772
